rank,team,abb,points,prev_pnts,points_change,avg18,wgt_avg18,avg17,wgt_avg17,avg16,wgt_avg16,avg15,wgt_avg15,conf
1,Germany,GER,1544(1543.99),1533,0,784.89,784.89,804.19,402.09,463.51,139.05,1089.77,217.95,UEFA
2,Brazil,BRA,1384(1384.24),1384,0,560.52,560.52,990.59,495.29,565.9,169.77,793.26,158.65,CONMEBOL
3,Belgium,BEL,1346(1345.65),1346,0,684.48,684.48,594.99,297.5,592.33,177.7,929.9,185.98,UEFA
4,Portugal,POR,1306(1306.35),1306,0,687.22,687.22,658.47,329.23,576.48,172.94,584.73,116.95,UEFA
5,Argentina,ARG,1254(1253.61),1254,0,418.94,418.94,839.74,419.87,769.42,230.83,919.87,183.97,CONMEBOL
6,Switzerland,SUI,1179(1179.21),1179,0,594.33,594.33,716.99,358.49,390.85,117.26,545.66,109.13,UEFA
7,France,FRA,1166(1166.42),1166,0,517.68,517.68,828.04,414.02,347.19,104.16,652.83,130.57,UEFA
8,Spain,ESP,1162(1161.59),1162,0,571.55,571.55,593.19,296.59,684.65,205.39,440.29,88.06,UEFA
9,Chile,CHI,1146(1145.74),1146,0,435.51,435.51,714.45,357.22,850.55,255.17,489.25,97.85,CONMEBOL
10,Poland,POL,1128(1128.11),1118,0,499.9,499.9,764.51,382.25,450.51,135.15,554.05,110.81,UEFA
11,Peru,PER,1106(1106.39),1106,0,585.98,585.98,743.69,371.85,372.92,111.87,183.44,36.69,CONMEBOL
12,Denmark,DEN,1054(1053.7),1054,0,725.7,725.7,313.01,156.5,312.44,93.73,388.85,77.77,UEFA
13,England,ENG,1040(1040.33),1040,0,481.83,481.83,576.3,288.15,556.48,166.94,517.02,103.4,UEFA
14,Tunisia,TUN,1012(1012.15),1012,0,654.26,654.26,388.94,194.47,221.51,66.45,484.87,96.97,CAF
15,Mexico,MEX,1008(1008.03),1008,0,464.84,464.84,612.85,306.42,485.67,145.7,455.33,91.07,CONCACAF
