group,o_team,d_team,o_rank,o_points,d_rank,d_points,rank_diff,o_score,d_score,score_diff,df_score,of_score,upset_option,team_a,diff_dist,a_points,team_b,b_points
Group E,Costa Rica,Serbia,25,858,35,732,-10,70,76.38888888888889,-6.388888888888886,73,76.83333333333333,3.8333333333333286,Serbia,10.222222222222214,3,Costa Rica,0
Group A,Egypt,Russia,46,636,66,493,-20,71.72727272727273,76.0952380952381,-4.367965367965368,70.23076923076923,76.53846153846153,6.307692307692307,Russia,10.675657675657675,3,Egypt,0
Group C,Peru,Denmark,11,1106,12,1054,-1,71.1,75.4,-4.300000000000011,68.28571428571429,75.58333333333333,7.297619047619037,Denmark,11.597619047619048,3,Peru,0
Group B,IR Iran,Morocco,36,727,42,681,-6,72.33333333333333,75.3125,-2.9791666666666714,69.5,75.15384615384616,5.65384615384616,Morocco,8.633012820512832,3,IR Iran,0
Group C,Peru,Australia,11,1106,40,700,-29,71.1,72.6,-1.5,68.28571428571429,70.38461538461539,2.098901098901095,Peru,3.598901098901095,1,Australia,1
Group D,Iceland,Nigeria,22,930,47,635,-25,70.61538461538461,71.76923076923077,-1.1538461538461604,69,74.2,5.200000000000003,Nigeria,6.353846153846163,3,Iceland,0
Group H,Poland,Colombia,10,1118,16,989,-6,75.76923076923077,76.58823529411765,-0.8190045248868785,75.47368421052632,77.6923076923077,2.2186234817813784,Poland,3.037628006668257,1,Colombia,1
Group B,Portugal,Spain,4,1306,8,1162,-4,81.91666666666667,82.6470588235294,-0.7303921568627345,79.83333333333333,84.41666666666667,4.583333333333343,Spain,5.313725490196077,3,Portugal,0
Group H,Poland,Senegal,10,1118,28,825,-18,75.76923076923077,76.15384615384616,-0.3846153846153868,75.47368421052632,76,0.526315789473685,Poland,0.9109311740890718,1,Senegal,1
Group E,Switzerland,Serbia,6,1179,35,732,-29,76.45454545454545,76.38888888888889,0.06565656565656752,77.21052631578948,76.83333333333333,-0.37719298245615107,Switzerland,0.4428495481127186,1,Serbia,1
Group A,Uruguay,Russia,17,976,66,493,-49,76.54545454545455,76.0952380952381,0.45021645021644474,75.6875,76.53846153846153,0.850961538461533,Uruguay,0.40074508824508825,1,Russia,1
Group H,Colombia,Senegal,16,989,28,825,-12,77.6923076923077,76.15384615384616,1.538461538461533,76.58823529411765,76,-0.5882352941176521,Colombia,2.126696832579185,1,Senegal,1
Group H,Poland,Japan,10,1118,60,528,-50,75.76923076923077,73.7,2.0692307692307708,75.47368421052632,75.75,0.27631578947368496,Poland,1.7929149797570858,1,Japan,1
Group A,Egypt,Saudi Arabia,46,636,67,445,-21,71.72727272727273,69.47368421052632,2.2535885167464187,70.23076923076923,67.84615384615384,-2.384615384615387,Egypt,4.6382039013618055,1,Saudi Arabia,1
Group H,Senegal,Japan,28,825,60,528,-32,76,73.7,2.299999999999997,76.15384615384616,75.75,-0.4038461538461604,Senegal,2.7038461538461576,1,Japan,1
Group D,Argentina,Croatia,5,1254,18,975,-13,82.81818181818181,80.23076923076923,2.5874125874125866,79.44444444444444,81.27272727272727,1.8282828282828234,Argentina,0.7591297591297632,1,Croatia,1
Group C,Denmark,Australia,12,1054,40,700,-28,75.58333333333333,72.6,2.9833333333333343,75.4,70.38461538461539,-5.015384615384619,Denmark,7.998717948717953,3,Australia,0
Group E,Switzerland,Costa Rica,6,1179,25,858,-19,76.45454545454545,73,3.4545454545454533,77.21052631578948,70,-7.21052631578948,Switzerland,10.665071770334933,3,Costa Rica,0
Group F,Mexico,Sweden,15,1008,23,889,-8,78.61538461538461,75.05263157894737,3.5627530364372433,77.53333333333333,75.41666666666667,-2.11666666666666,Mexico,5.679419703103903,3,Sweden,0
Group H,Colombia,Japan,16,989,60,528,-44,77.6923076923077,73.7,3.9923076923076906,76.58823529411765,75.75,-0.8382352941176521,Colombia,4.830542986425343,1,Japan,1
Group F,Sweden,Korea Republic,23,889,61,520,-38,75.41666666666667,70.94117647058823,4.4754901960784395,75.05263157894737,72.625,-2.42763157894737,Sweden,6.903121775025809,3,Korea Republic,0
Group G,Belgium,England,3,1346,13,1040,-10,82.6923076923077,78.05555555555556,4.636752136752136,81.66666666666667,80.5,-1.1666666666666714,Belgium,5.803418803418808,3,England,0
Group G,Tunisia,Panama,14,1012,55,575,-41,71.5,66.71428571428571,4.785714285714292,69.14285714285714,68.66666666666667,-0.4761904761904674,Tunisia,5.261904761904759,3,Panama,0
Group E,Brazil,Switzerland,2,1384,6,1179,-4,83.16666666666667,77.21052631578948,5.956140350877192,82.11764705882354,76.45454545454545,-5.663101604278083,Brazil,11.619241955155275,3,Switzerland,0
Group A,Uruguay,Egypt,17,976,46,636,-29,76.54545454545455,70.23076923076923,6.31468531468532,75.6875,71.72727272727273,-3.9602272727272663,Uruguay,10.274912587412587,3,Egypt,0
Group B,Portugal,Morocco,4,1306,42,681,-38,81.91666666666667,75.3125,6.604166666666671,79.83333333333333,75.15384615384616,-4.679487179487168,Portugal,11.28365384615384,3,Morocco,0
Group F,Germany,Mexico,1,1533,15,1008,-14,84.16666666666667,77.53333333333333,6.63333333333334,83.45,78.61538461538461,-4.83461538461539,Germany,11.46794871794873,3,Mexico,0
Group E,Brazil,Serbia,2,1384,35,732,-33,83.16666666666667,76.38888888888889,6.777777777777786,82.11764705882354,76.83333333333333,-5.2843137254902075,Brazil,12.062091503267993,3,Serbia,0
Group A,Russia,Saudi Arabia,66,493,67,445,-1,76.53846153846153,69.47368421052632,7.064777327935218,76.0952380952381,67.84615384615384,-8.249084249084262,Russia,15.31386157701948,3,Saudi Arabia,0
Group A,Uruguay,Saudi Arabia,17,976,67,445,-50,76.54545454545455,69.47368421052632,7.071770334928232,75.6875,67.84615384615384,-7.84134615384616,Uruguay,14.913116488774392,3,Saudi Arabia,0
Group F,Mexico,Korea Republic,15,1008,61,520,-46,78.61538461538461,70.94117647058823,7.674208144796381,77.53333333333333,72.625,-4.908333333333331,Mexico,12.582541478129713,3,Korea Republic,0
Group C,France,Denmark,7,1166,12,1054,-5,83.91666666666667,75.4,8.516666666666666,81.5625,75.58333333333333,-5.979166666666671,France,14.495833333333337,3,Denmark,0
Group B,Spain,Morocco,8,1162,42,681,-34,84.41666666666667,75.3125,9.104166666666671,82.6470588235294,75.15384615384616,-7.4932126696832455,Spain,16.597379336349917,3,Morocco,0
Group F,Germany,Sweden,1,1533,23,889,-22,84.16666666666667,75.05263157894737,9.114035087719301,83.45,75.41666666666667,-8.033333333333331,Germany,17.147368421052633,3,Sweden,0
Group D,Croatia,Nigeria,18,975,47,635,-29,81.27272727272727,71.76923076923077,9.503496503496493,80.23076923076923,74.2,-6.0307692307692236,Croatia,15.534265734265716,3,Nigeria,0
Group E,Brazil,Costa Rica,2,1384,25,858,-23,83.16666666666667,73,10.166666666666671,82.11764705882354,70,-12.117647058823536,Brazil,22.284313725490208,3,Costa Rica,0
Group D,Argentina,Nigeria,5,1254,47,635,-42,82.81818181818181,71.76923076923077,11.04895104895104,79.44444444444444,74.2,-5.24444444444444,Argentina,16.29339549339548,3,Nigeria,0
Group C,France,Australia,7,1166,40,700,-33,83.91666666666667,72.6,11.316666666666677,81.5625,70.38461538461539,-11.177884615384613,France,22.49455128205129,3,Australia,0
Group G,England,Tunisia,13,1040,14,1012,-1,80.5,69.14285714285714,11.357142857142861,78.05555555555556,71.5,-6.555555555555557,England,17.91269841269842,3,Tunisia,0
Group D,Croatia,Iceland,18,975,22,930,-4,81.27272727272727,69,12.272727272727266,80.23076923076923,70.61538461538461,-9.615384615384613,Croatia,21.88811188811188,3,Iceland,0
Group B,Portugal,IR Iran,4,1306,36,727,-32,81.91666666666667,69.5,12.416666666666671,79.83333333333333,72.33333333333333,-7.5,Portugal,19.91666666666667,3,IR Iran,0
Group F,Germany,Korea Republic,1,1533,61,520,-60,84.16666666666667,70.94117647058823,13.22549019607844,83.45,72.625,-10.825000000000003,Germany,24.050490196078442,3,Korea Republic,0
Group G,Belgium,Tunisia,3,1346,14,1012,-11,82.6923076923077,69.14285714285714,13.549450549450555,81.66666666666667,71.5,-10.166666666666671,Belgium,23.716117216117226,3,Tunisia,0
Group G,England,Panama,13,1040,55,575,-42,80.5,66.71428571428571,13.785714285714292,78.05555555555556,68.66666666666667,-9.388888888888886,England,23.174603174603178,3,Panama,0
Group D,Argentina,Iceland,5,1254,22,930,-17,82.81818181818181,69,13.818181818181813,79.44444444444444,70.61538461538461,-8.82905982905983,Argentina,22.647241647241643,3,Iceland,0
Group B,Spain,IR Iran,8,1162,36,727,-28,84.41666666666667,69.5,14.916666666666671,82.6470588235294,72.33333333333333,-10.313725490196077,Spain,25.23039215686275,3,IR Iran,0
Group C,France,Peru,7,1166,11,1106,-4,83.91666666666667,68.28571428571429,15.63095238095238,81.5625,71.1,-10.462500000000006,France,26.093452380952385,3,Peru,0
Group G,Belgium,Panama,3,1346,55,575,-52,82.6923076923077,66.71428571428571,15.978021978021985,81.66666666666667,68.66666666666667,-13,Belgium,28.978021978021985,3,Panama,0
