edition,datetime,date,match_no,round,home_team,home_code,home_score,score,away_score,away_team,away_code,tiebreak_long,tiebreak_short,winner,home_result,away_result,home_rank,away_rank,result_type,rank_diff,score_diff
brazil2014,12 Jun 2014 - 17:00 Local time,12 Jun 2014,Match 1,Group A,Brazil,BRA,3,3-1,1,Croatia,CRO, , ,Brazil,W,L,11,18,expected,7,2
brazil2014,13 Jun 2014 - 13:00 Local time,13 Jun 2014,Match 2,Group A,Mexico,MEX,1,1-0,0,Cameroon,CMR, , ,Mexico,W,L,24,59,expected,35,1
brazil2014,13 Jun 2014 - 16:00 Local time,13 Jun 2014,Match 3,Group B,Spain,ESP,1,1-5,5,Netherlands,NED, , ,Netherlands,L,W,1,8,upset,7,4
brazil2014,13 Jun 2014 - 18:00 Local time,13 Jun 2014,Match 4,Group B,Chile,CHI,3,3-1,1,Australia,AUS, , ,Chile,W,L,12,57,expected,45,2
brazil2014,14 Jun 2014 - 13:00 Local time,14 Jun 2014,Match 5,Group C,Colombia,COL,3,3-0,0,Greece,GRE, , ,Colombia,W,L,4,15,expected,11,3
brazil2014,14 Jun 2014 - 16:00 Local time,14 Jun 2014,Match 7,Group D,Uruguay,URU,1,1-3,3,Costa Rica,CRC, , ,Costa Rica,L,W,6,31,upset,25,2
brazil2014,14 Jun 2014 - 18:00 Local time,14 Jun 2014,Match 8,Group D,England,ENG,1,1-2,2,Italy,ITA, , ,Italy,L,W,10,9,expected,1,1
brazil2014,14 Jun 2014 - 22:00 Local time,14 Jun 2014,Match 6,Group C,Côte d'Ivoire,CIV,2,2-1,1,Japan,JPN, , ,Côte d'Ivoire,W,L,17,44,expected,27,1
brazil2014,15 Jun 2014 - 13:00 Local time,15 Jun 2014,Match 9,Group E,Switzerland,SUI,2,2-1,1,Ecuador,ECU, , ,Switzerland,W,L,7,22,expected,15,1
brazil2014,15 Jun 2014 - 16:00 Local time,15 Jun 2014,Match 10,Group E,France,FRA,3,3-0,0,Honduras,HON, , ,France,W,L,21,34,expected,13,3
brazil2014,15 Jun 2014 - 19:00 Local time,15 Jun 2014,Match 11,Group F,Argentina,ARG,2,2-1,1,Bosnia and Herzegovina,BIH, , ,Argentina,W,L,3,16,expected,13,1
brazil2014,16 Jun 2014 - 13:00 Local time,16 Jun 2014,Match 13,Group G,Germany,GER,4,4-0,0,Portugal,POR, , ,Germany,W,L,2,14,expected,12,4
brazil2014,16 Jun 2014 - 16:00 Local time,16 Jun 2014,Match 12,Group F,IR Iran,IRN,0,0-0,0,Nigeria,NGA, , ,NA,D,D,49,33,upset,16,0
brazil2014,16 Jun 2014 - 19:00 Local time,16 Jun 2014,Match 14,Group G,Ghana,GHA,1,1-2,2,USA,USA, , ,USA,L,W,23,13,expected,10,1
brazil2014,17 Jun 2014 - 13:00 Local time,17 Jun 2014,Match 15,Group H,Belgium,BEL,2,2-1,1,Algeria,ALG, , ,Belgium,W,L,5,32,expected,27,1
brazil2014,17 Jun 2014 - 16:00 Local time,17 Jun 2014,Match 17,Group A,Brazil,BRA,0,0-0,0,Mexico,MEX, , ,NA,D,D,11,24,expected,13,0
brazil2014,17 Jun 2014 - 18:00 Local time,17 Jun 2014,Match 16,Group H,Russia,RUS,1,1-1,1,Korea Republic,KOR, , ,NA,D,D,19,56,expected,37,0
brazil2014,18 Jun 2014 - 13:00 Local time,18 Jun 2014,Match 20,Group B,Australia,AUS,2,2-3,3,Netherlands,NED, , ,Netherlands,L,W,57,8,expected,49,1
brazil2014,18 Jun 2014 - 16:00 Local time,18 Jun 2014,Match 19,Group B,Spain,ESP,0,0-2,2,Chile,CHI, , ,Chile,L,W,1,12,upset,11,2
brazil2014,18 Jun 2014 - 18:00 Local time,18 Jun 2014,Match 18,Group A,Cameroon,CMR,0,0-4,4,Croatia,CRO, , ,Croatia,L,W,59,18,expected,41,4
brazil2014,19 Jun 2014 - 13:00 Local time,19 Jun 2014,Match 21,Group C,Colombia,COL,2,2-1,1,Côte d'Ivoire,CIV, , ,Colombia,W,L,4,17,expected,13,1
brazil2014,19 Jun 2014 - 16:00 Local time,19 Jun 2014,Match 23,Group D,Uruguay,URU,2,2-1,1,England,ENG, , ,Uruguay,W,L,6,10,expected,4,1
brazil2014,19 Jun 2014 - 19:00 Local time,19 Jun 2014,Match 22,Group C,Japan,JPN,0,0-0,0,Greece,GRE, , ,NA,D,D,44,15,upset,29,0
brazil2014,20 Jun 2014 - 13:00 Local time,20 Jun 2014,Match 24,Group D,Italy,ITA,0,0-1,1,Costa Rica,CRC, , ,Costa Rica,L,W,9,31,upset,22,1
brazil2014,20 Jun 2014 - 16:00 Local time,20 Jun 2014,Match 25,Group E,Switzerland,SUI,2,2-5,5,France,FRA, , ,France,L,W,7,21,upset,14,3
brazil2014,20 Jun 2014 - 19:00 Local time,20 Jun 2014,Match 26,Group E,Honduras,HON,1,1-2,2,Ecuador,ECU, , ,Ecuador,L,W,34,22,expected,12,1
