x1,name,age,photo,nationality,flag,overall,potential,club,club_logo,value,wage,special,acceleration,aggression,agility,balance,ball_control,composure,crossing,curve,dribbling,finishing,free_kick_accuracy,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,heading_accuracy,interceptions,jumping,long_passing,long_shots,marking,penalties,positioning,reactions,short_passing,shot_power,sliding_tackle,sprint_speed,stamina,standing_tackle,strength,vision,volleys,cam,cb,cdm,cf,cm,id,lam,lb,lcb,lcm,ldm,lf,lm,ls,lw,lwb,preferred_positions,ram,rb,rcb,rcm,rdm,rf,rm,rs,rw,rwb,st
0,Cristiano Ronaldo,32,https://cdn.sofifa.org/48/18/players/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,94,94,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€95.5M,€565K,2228,89,63,89,63,93,95,85,81,91,94,76,7,11,15,14,11,88,29,95,77,92,22,85,95,96,83,94,23,91,92,31,80,85,88,89,53,62,91,82,20801,89,61,53,82,62,91,89,92,91,66,ST LW,89,61,53,82,62,91,89,92,91,66,92
67,Pepe,34,https://cdn.sofifa.org/48/18/players/120533.png,Portugal,https://cdn.sofifa.org/flags/38.png,86,86,Beşiktaş JK,https://cdn.sofifa.org/24/18/teams/327.png,€13.5M,€94K,1839,65,94,63,49,62,77,46,44,58,46,47,8,15,5,9,10,80,86,76,61,56,86,57,40,83,70,63,87,70,62,86,84,48,23,59,83,76,59,63,120533,59,75,83,63,76,59,59,61,58,72,CB,59,75,83,63,76,59,59,61,58,72,61
94,Bernardo Silva,22,https://cdn.sofifa.org/48/18/players/218667.png,Portugal,https://cdn.sofifa.org/flags/38.png,84,91,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€43.5M,€165K,2012,85,58,88,86,89,84,79,79,91,76,63,9,10,14,12,9,51,49,53,78,64,46,64,77,84,84,72,35,78,80,44,54,85,66,83,53,66,82,79,218667,83,63,53,79,66,82,83,75,83,68,RM,83,63,53,79,66,82,83,75,83,68,75
133,João Mário,24,https://cdn.sofifa.org/48/18/players/212814.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,88,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€34M,€70K,2098,71,61,81,70,85,85,77,74,84,66,67,6,15,8,8,8,55,78,63,78,73,67,66,80,82,83,77,61,75,84,75,69,82,69,80,70,77,79,81,212814,80,74,70,81,77,79,80,74,79,77,CAM CM,80,74,70,81,77,79,80,74,79,77,74
141,William Carvalho,25,https://cdn.sofifa.org/48/18/players/207566.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,86,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€27.5M,€21K,1967,52,75,45,50,78,89,66,77,79,56,50,6,6,5,14,14,73,84,68,86,58,77,60,62,74,84,59,71,53,84,85,88,78,50,72,79,81,69,79,207566,72,75,79,79,81,69,72,67,69,75,CM CDM,72,75,79,79,81,69,72,67,69,75,67
146,Danilo Pereira,25,https://cdn.sofifa.org/48/18/players/200888.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,86,FC Porto,https://cdn.sofifa.org/24/18/teams/236.png,€27.5M,€18K,2029,67,88,58,60,77,84,50,48,76,56,53,9,7,13,14,15,76,85,67,79,64,80,52,69,76,82,77,78,68,87,85,89,69,55,72,82,82,72,77,200888,72,77,82,77,82,72,72,71,69,76,CM CB CDM,72,77,82,77,82,72,72,71,69,76,71
148,A. Lopes,26,https://cdn.sofifa.org/48/18/players/199482.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,86,Olympique Lyonnais,https://cdn.sofifa.org/24/18/teams/66.png,€22.5M,€60K,1317,60,35,65,62,21,55,19,15,15,18,14,86,81,71,79,85,16,25,85,31,18,13,16,9,85,32,20,13,64,33,15,65,38,13,NA,NA,NA,NA,NA,199482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,Adrien Silva,28,https://cdn.sofifa.org/48/18/players/184826.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,83,NA,https://cdn.sofifa.org/flags/38.png,€0,€0,2174,64,79,73,67,85,82,78,79,82,71,75,15,6,8,10,7,61,84,56,84,80,80,85,75,77,83,83,73,65,89,78,62,85,75,80,75,81,78,82,184826,80,78,75,82,81,78,79,74,78,79,CDM CM,80,78,75,82,81,78,79,74,78,79,74
174,Rui Patrício,29,https://cdn.sofifa.org/48/18/players/178005.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,83,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€17.5M,€19K,1350,53,39,61,54,23,53,12,10,20,12,16,85,81,80,79,82,11,22,79,30,11,13,32,13,80,31,38,11,57,45,13,77,63,17,NA,NA,NA,NA,NA,178005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,Nani,30,https://cdn.sofifa.org/48/18/players/139068.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,83,Lazio,https://cdn.sofifa.org/24/18/teams/46.png,€24.5M,€47K,1949,84,62,92,77,86,79,82,86,87,75,79,5,10,13,6,6,46,31,39,79,83,15,72,77,80,81,85,20,78,74,22,62,80,75,82,41,56,81,76,139068,82,53,41,76,56,81,81,76,82,59,LM CAM RW LW,82,53,41,76,56,81,81,76,82,59,76
