No,Pos,Player,DOB/Age,Caps,Club,Country,ClubCountry,Year,age,month,dob,birth_year,birth_month,birth_day,position
NA,1GK,Rui Patrício,(1988-02-15)15 February 1988 (aged 30),68,Sporting CP,Portugal,NA,2018,30,February,1988-02-15,1988,2,15,GK
NA,2DF,Bruno Alves,(1981-11-27)27 November 1981 (aged 36),95,Rangers,Portugal,NA,2018,36,November,1981-11-27,1981,11,27,DF
NA,2DF,Pepe,(1983-02-26)26 February 1983 (aged 35),93,Beşiktaş,Portugal,NA,2018,35,February,1983-02-26,1983,2,26,DF
NA,3MF,Manuel Fernandes,(1986-02-05)5 February 1986 (aged 32),13,Lokomotiv Moscow,Portugal,NA,2018,32,February,1986-02-05,1986,2,5,MF
NA,2DF,Raphaël Guerreiro,(1993-12-22)22 December 1993 (aged 24),22,Borussia Dortmund,Portugal,NA,2018,24,December,1993-12-22,1993,12,22,DF
NA,2DF,José Fonte,(1983-12-22)22 December 1983 (aged 34),29,Dalian Yifang,Portugal,NA,2018,34,December,1983-12-22,1983,12,22,DF
NA,4FW,Cristiano Ronaldo (captain),(1985-02-05)5 February 1985 (aged 33),149,Real Madrid,Portugal,NA,2018,33,February,1985-02-05,1985,2,5,FW
NA,3MF,João Moutinho,(1986-09-08)8 September 1986 (aged 31),108,Monaco,Portugal,NA,2018,31,September,1986-09-08,1986,9,8,MF
NA,4FW,André Silva,(1995-11-06)6 November 1995 (aged 22),21,Milan,Portugal,NA,2018,22,November,1995-11-06,1995,11,6,FW
NA,3MF,João Mário,(1993-01-19)19 January 1993 (aged 25),34,West Ham United,Portugal,NA,2018,25,January,1993-01-19,1993,1,19,MF
NA,4FW,Bernardo Silva,(1994-08-10)10 August 1994 (aged 23),23,Manchester City,Portugal,NA,2018,23,August,1994-08-10,1994,8,10,FW
NA,1GK,Anthony Lopes,(1990-10-01)1 October 1990 (aged 27),7,Lyon,Portugal,NA,2018,27,October,1990-10-01,1990,10,1,GK
NA,2DF,Rúben Dias,(1997-05-14)14 May 1997 (aged 21),1,Benfica,Portugal,NA,2018,21,May,1997-05-14,1997,5,14,DF
NA,3MF,William Carvalho,(1992-04-07)7 April 1992 (aged 26),41,Sporting CP,Portugal,NA,2018,26,April,1992-04-07,1992,4,7,MF
NA,2DF,Ricardo Pereira,(1993-10-06)6 October 1993 (aged 24),4,Porto,Portugal,NA,2018,24,October,1993-10-06,1993,10,6,DF
NA,3MF,Bruno Fernandes,(1994-09-08)8 September 1994 (aged 23),4,Sporting CP,Portugal,NA,2018,23,September,1994-09-08,1994,9,8,MF
NA,4FW,Gonçalo Guedes,(1996-11-29)29 November 1996 (aged 21),8,Valencia,Portugal,NA,2018,21,November,1996-11-29,1996,11,29,FW
NA,4FW,Gelson Martins,(1995-05-11)11 May 1995 (aged 23),17,Sporting CP,Portugal,NA,2018,23,May,1995-05-11,1995,5,11,FW
NA,2DF,Mário Rui,(1991-05-27)27 May 1991 (aged 27),2,Napoli,Portugal,NA,2018,27,May,1991-05-27,1991,5,27,DF
NA,4FW,Ricardo Quaresma,(1983-09-26)26 September 1983 (aged 34),75,Beşiktaş,Portugal,NA,2018,34,September,1983-09-26,1983,9,26,FW
NA,2DF,Cédric,(1991-08-31)31 August 1991 (aged 26),27,Southampton,Portugal,NA,2018,26,August,1991-08-31,1991,8,31,DF
NA,1GK,Beto,(1982-06-01)1 June 1982 (aged 36),13,Göztepe,Portugal,NA,2018,36,June,1982-06-01,1982,6,1,GK
NA,3MF,Adrien Silva,(1989-03-15)15 March 1989 (aged 29),22,Leicester City,Portugal,NA,2018,29,March,1989-03-15,1989,3,15,MF
